Broad.phase.of.flight,total_accidents,avg_severity
APPROACH,5136,-0.5839174454828661
CLIMB,1555,-0.509967845659164
CRUISE,8042,-0.5956229793583686
DESCENT,1384,-0.6098265895953757
GO-AROUND,1066,-0.649155722326454
LANDING,11608,-0.9363370089593384
MANEUVERING,6507,-0.4624250806823421
OTHER,93,-0.4838709677419355
STANDING,547,-0.7751371115173674
TAKEOFF,9936,-0.7027979066022544
TAXI,1439,-0.9562195969423211
UNKNOWN,461,-0.16268980477223427
